a
zboží
na
jsem
v
se
je
to
že
s
mi
o
ale
po
si
bylo
dodání
rychlost
za
komunikace
cena
z
do
ceny
k
rychlé
obchod
i
tak
nevím
vše
nic
byla
skladem
e
objednávky
při
není
doporučuji
u
pro
co
bez
žádné
byl
velmi
sortiment
ani
by
od
až
ze
doprava
den
jen
když
zbozi
doručení
ve
dobrá
obchodu
mě
přes
zatím
rychle
které
než
spokojenost
nákup
vyřízení
bych
dobré
objednávku
objednávka
výběr
prodejně
jednání
jako
už
ok
jak
jsme
dodací
pořádku
vyzvednutí
doba
3
nikdo
super
možnost
2
tam
nebylo
bude
ještě
objednal
asi
být
již
nebo
pouze
jsou
ho
dopravce
předem
5
pokud
4
takže
kdy
kde
velký
shopu
ochota
dopravy
žádná
široký
shop
pak
dny
obchodem
dopravu
obchodě
1
mají
dobrý
10
dní
rychlá
objednání
cca
mám
doručeno
který
ne
musel
bohužel
problém
dnů
personál
dnech
vždy
místo
platba
informace
protože
cenu
zdarma
spokojen
velice
nemá
eshopu
dodáno
což
tedy
žádných
další
vůbec
má
aby
nemám
objednávce
jinde
vyzvednout
lhůta
skladu
odběru
před
hornbachu
dostupnost
týden
dlouhá
přišlo
peníze
tím
první
měl
stále
vám
jinak
tento
nákupu
nebyl
nelze
kč
objednané
dorazilo
špatná
skladě
objednat
jiné
zde
kartou
eshop
výborná
spolehlivost
problémů
více
přehlednost
nakonec
mne
nebyla
toho
termín
případě
opravdu
přístup
něco
platit
dle
trochu
důvodu
místě
osobně
byly
nikdy
nemají
kvalita
mail
ochotný
druhý
6
mohu
pobočce
moc
osobní
doma
dva
jeden
nedoporučuji
dodávka
dodávky
nedorazilo
nejsou
perfektní
termínu
tomu
dne
naprosto
8
email
zaplatit
budu
dobře
doporučit
mělo
poškozené
online
množství
ji
paní
já
platby
objednala
14
obsluha
7
mé
proběhlo
sortimentu
strany
delší
reakce
nenašel
dvou
stavu
všechno
balení
zaplatil
ten
připraveno
která
zákazníka
prodejny
ppl
čas
jejich
zaplacení
možné
měli
část
měla
kvalitní
mezi
dodani
materiál
jedna
určitě
nám
toto
můj
dost
dnes
době
nabídka
všem
proč
podle
domova
hned
řidič
internet
jestli
stránkách
potvrzení
zda
spokojená
navíc
11
odběr
uvedeno
přímo
nevim
vás
tom
reklamace
lepší
20
dlouho
znovu
také
domu
sám
materiálu
čekat
12
zabaleno
přišel
proto
jej
čekání
internetu
špatně
dorazí
děkuji
dveře
ihned
čekám
prodejnu
objednáno
jim
možná
chybí
zásilky
stránky
15
reklamaci
rychlý
sms
balík
zpět
spokojena
čekal
dodavatele
zásilku
osobního
přehledné
neznám
kterou
recenze
dek
přišla
webu
velká
potřeboval
snad
telefonu
tomto
některé
několik
abych
nikde
dodat
zásilka
moje
přehledný
způsobem
dotaz
dostal
lhůty
hodně
zkušenost
třeba
nakupovat
týdnu
9
fakturu
30
me
sice
opět
zákazníkem
telefon
kvůli
převzetí
praze
přijde
prodejce
dobírku
obchodních
neozval
mít
někdo
platbu
objednaného
musela
az
odpověď
týdny
pobočku
jste
úplně
smazána
skvělá
málo
příště
žádnou
2018
slabiny
vstřícnost
stavebniny
info
může
řešit
nemožnost
psát
prostě
domů
zákazníkovi
koupit
prý
recenzi
vse
jiného
položek
nich
drahá
vyšší
jiný
dobu
nesmí
žádný
položky
zabalené
musím
výdej
číslo
daným
dopravou
několika
mém
celkem
neni
telefonicky
ke
přestože
slušné
porušení
uživatelé
jakýmkoliv
spříznění
no
bydliště
chyba
dlouhé
raději
vstřícné
došlo
teprve
vzhledem
poslední
přesto
výrobek
problému
solidní
on
mohl
musí
pri
kdyz
pátek
volal
adresu
chtěl
člověk
profesionální
výrobce
personálu
minut
hobby
dopravci
schopni
firma
2020
dvě
kdo
zákazník
ks
dni
věci
místa
velké
sem
vrácení
lze
urgenci
komunikaci
auta
nemohu
osobním
služba
brně
jednou
100
hodin
sděleno
pondělí
firmy
odeslání
zcela
zjistil
2x
doby
levnější
nízké
přepravní
musíte
ohledně
později
zkušenosti
nejde
tu
poprvé
trvalo
uz
jedné
jiných
zadne
dorazila
byli
služby
mnou
koupil
nabízí
včetně
kdyby
produkt
doruceni
nakupuji
špatné
neví
hlavně
poštovné
katastrofa
kdybych
zbožím
levné
příliš
pár
16
mailem
mého
menší
problémy
škoda
nejlepší
jednu
či
naprostá
nezjistil
systém
výdeji
vrátit
docela
oproti
produktu
výrobku
zbytečně
výdejní
účet
výběru
13
alespoň
dodávku
poslat
jednom
upozornění
větší
celou
dosud
jeho
jde
vědět
máte
zaplaceno
ráno
vřele
tohoto
dispozici
zřejmě
informaci
nakup
potřebuji
díky
pod
zase
někdy
bezproblémové
neochota
však
dá
vybrat
doporucuji
ostatním
víc
kus
taky
následně
nez
všech
zrušil
všechny
spolehlivý
obratem
věcí
příznivé
příjemné
dobre
neměl
přitom
nebudu
dopředu
nabídce
převodem
ať
poslali
dostupné
objednavky
dříve
pobočky
stavebnin
pracovní
včas
mně
objednával
celý
doručena
neměli
schopen
nákupem
tel
malý
týdne
nad
ty
zbytek
jinou
příjemná
naštěstí
hodinu
hodiny
nabídky
potom
skvělé
sobotu
stejně
datum
myslím
samozřejmě
dovolat
vstřícný
nakupoval
desky
zaplacené
této
krabice
nedá
kompletní
ta
skutečnosti
poměrně
nemohl
ceně
web
palety
jelikož
rozhodně
tři
funguje
dovoz
takto
vlastní
x
řečeno
takze
jenom
nedostal
situaci
perfektně
úterý
půl
odpoledne
zaměstnanci
zatim
mohla
maximálně
popis
nižší
téměř
daleko
otevírací
ochotná
práce
přesně
občas
času
hod
během
česká
krátká
ochotní
uvedené
dobrou
dále
zaplatila
dodáním
způsob
práci
sklad
čekací
spokojenosti
skoro
17
dopravné
tímto
poté
nebude
poškození
najít
peněz
paletu
zákazníky
absolutně
výhodná
produktů
věc
nicméně
každý
některých
dvakrát
rozumné
horší
celé
přehled
trvá
servis
vyber
vyřízena
poradit
objednám
nechápu
té
žádost
budou
tuto
dražší
byt
som
nás
nekvalitní
řekl
mam
výdeje
dokonce
volat
expedice
km
objednali
rozbalení
vyzvednuti
bohuzel
pan
příjemný
the
dodnes
ktere
nejlevnější
obchody
můžu
možnosti
tohle
nebyly
dobra
najednou
celková
jedná
mu
fakt
faktury
nekomunikuje
čtvrtek
pán
ovšem
připravené
hodnocení
platbě
kusů
linku
volala
domluva
min
informací
výhodné
doporučil
někde
ničem
teď
pohodlí
našel
objednavku
auto
cestě
chápu
řešení
chybu
náklady
dorazil
neodpovídá
stav
různých
rád
dotazy
chci
faktura
levná
obdržel
jiz
museli
nejdříve
nemusím
nevidím
zaměstnanců
stejné
informovanost
objednávek
0
doručit
mohli
mel
nevýhoda
tady
kteří
nejsem
poštu
jeste
několikrát
jedno
dodavatel
viz
výhoda
spolupráce
nedorazila
moji
následující
okamžitě
dalších
lidi
tyden
dobry
objednavka
měsíc
24
jednalo
společnosti
25
části
návod
spokojený
míst
často
chtělo
nakoupit
parkování
bezproblémový
kolik
dnešní
vstříc
mohlo
mnoho
nízká
prodejna
váš
okolí
trošku
volali
informacích
hodnotit
zakázky
paletě
obchodech
výborné
prodejne
zaslání
popisu
neumí
špatný
ačkoliv
široká
hlavní
ruky
ma
ti
2019
možno
rovnou
nešlo
jiným
kupoval
zpráva
vynikající
pracovních
balíku
arogantní
nebyli
zajistit
stavebninách
dodaci
poradí
pobočkách
předání
sama
emailu
skladník
sami
zákazníkům
pobočka
jednani
ostatní
placení
lépe
dorazit
oddělení
pořád
druhého
prahy
stavební
posoudit
zboži
klidu
autem
stránek
hledal
oznámení
nenapadá
nenašla
své
konkurence
nutné
dát
malé
nulová
urgencích
nějaké
dál
proti
poškozeno
pres
stale
ano
dostala
druhou
původně
doručování
obchodů
nářadí
pracovník
hledat
dotazu
výrobků
příspěvek
odstraněn
spolehlivé
prodejen
vysoká
drahé
malá
nakupování
barva
něj
prodavač
mou
částku
chce
čr
termin
zájem
pohodě
položku
kamenné
ač
telefonické
kam
obal
přijatelné
barvy
platil
obi
objednávkou
nějaký
opakovaně
nakoupil
dostat
misto
dodávce
lince
slušná
my
obchode
potřebovala
vytknout
dnu
jet
chtěli
autora
konkrétní
situace
druhé
cenou
pokladny
spokojeni
vaše
tudíž
ja
déle
nepřišlo
skutečně
pečlivě
cesta
dostanu
zákazníků
druhy
vysoké
zavolal
možností
neobdržel
ktery
personal
bezproblémová
dnešního
penize
dopravní
hodnotím
zahradní
vaší
kvalitě
zrovna
nutnost
doposud
chcete
mimo
požadované
nema
zjistit
maximální
neschopnost
nové
pracovníků
tim
napsal
takové
pohodlný
takový
dodané
české
velky
poplatek
nyní
stojí
informován
spíše
zaslat
vubec
vidět
vyzvednu
kolem
vam
zvlášť
hrůza
doufám
nemáme
nějak
zpracování
přijel
cenově
uvítal
vypadá
považuji
nemůže
platební
poslal
ní
blízko
doručí
proběhla
dovezou
ně
chaos
jednoho
neboť
pred
50
nabízejí
balíček
běžné
kupovat
kterého
rozdíl
rychla
dodali
jiná
informovat
storno
nezaznamenal
méně
m
odpovědi
jí
čekala
chtěla
prodejnách
zákaznické
řidiče
slevu
napsáno
milý
aspoň
mailu
zajímavé
typ
nutno
zmatek
nenarazil
přijetí
dopoledne
úrovni
rozměr
nekompletní
zrušit
firmou
nedošlo
zrušení
problem
celkově
potřeba
lidé
nějakou
vybral
internetový
budete
objednávání
oni
nemam
nemůžu
hotovosti
rozměry
akci
výhody
naší
kvalitně
údajně
výrobky
objednáte
vice
nakupovala
šlo
nefunguje
nijak
večer
lidí
problemu
nabídku
stalo
internetové
prodavači
máme
přišly
jednoduché
jediné
kusy
většina
vstřícná
odesláno
aniž
nevěděl
předáno
pracovníci
jednoznačně
naskladnění
stavebního
výdejním
zakoupil
udělat
prostředí
straně
napsat
správně
pristup
jiném
pomoci
přepravu
všude
protoze
ráda
naprostém
zprávu
údaje
webové
dodají
cenová
dělat
otevřeno
milá
obj
jednotlivých
webových
mile
chybějící
omezený
prozatím
skvělý
vybrané
přehledná
zadna
poboček
mojí
neco
cestu
lhůtě
zaplatím
výborný
skvěle
katastrofální
000
podruhé
prvním
pomoc
stejný
měly
poště
relativně
židle
mm
celá
coz
dojde
tyto
fajn
týdnech
vyřizování
napsali
ochotně
dobou
absolutní
termíny
prodej
přeprava
dělá
desek
přepravě
komunikací
čeká
porovnání
ni
dalším
stornována
nedal
prislo
maji
kc
doruceno
nejhorší
materiálů
seriozní
sklade
dopravě
dodávkou
nereagoval
kladně
prostor
urgence
zrušena
velkou
potvrzena
vcelku
kontakt
tato
čase
snaží
základě
termínem
právě
akce
predem
jel
nabízené
svým
systému
převzít
sdělil
spolehlivě
použití
emailem
čísla
konkurenci
kamenném
plné
potřebné
nejen
osobnímu
zajet
slevy
pani
případně
fungující
doporučím
automaticky
odezva
jine
ted
marketu
příznivá
víkend
objednávala
službu
rozumnou
její
telefonátu
zálohovou
přístupem
lhůtu
né
cekat
ochotu
odberu
let
udělal
veci
prvni
dovolenou
obchodník
domluvit
dali
slečna
prodejci
osb
skladové
chvíli
lhuta
mnohem
okamžitá
doručen
nedoporucuji
pokladně
500
pozor
částka
praha
třech
clovek
proste
zaplatíte
nechat
rychlejší
šíře
folie
jediná
nemusel
vím
vyzvedl
nakoupím
vas
26
pohodlné
chování
polystyren
slabinu
sleva
ozve
zaměstnanec
vámi
vracet
areálu
veškeré
nejbližší
svých
vydat
tovar
telefonní
urgoval
kamion
vydání
dojet
zaplacena
negativní
těžko
jezdit
řekli
internetových
nový
infolince
deku
centrálního
podmínky
levněji
pripade
důvod
čekáte
doručovat
jedničku
zavolá
platbou
prohlédnout
netu
kratší
dotazník
naložit
nemůžete
pravidelně
dlouha
nedodržení
výrazně
děje
zaplaceni
stavbu
nekomunikují
vrátí
kvuli
týdnů
prodeje
and
uplne
třetí
objednane
cas
neděli
nedostatečné
nikam
zákaznickou
částečně
resp
pružnost
vyberu
drive
vic
přivezou
různé
evidentně
prijde
pocit
dostupnosti
spoustu
přijatelná
znamená
vy
dodavatelem
faktuře
fronty
služeb
vstřícní
nechal
chyběla
zásadní
reklamovat
poněkud
složení
max
proces
dph
kvalitu
zjistili
komplikace
tří
buď
tzn
stejnou
dané
výdejních
místech
brna
zakázku
očekával
zavřeno
vyrizeni
vzdálenost
sdělili
ochotny
centrálním
jedinou
nereagují
příjezdu
nepřišla
doručovací
doklad
strašně
konečně
normálně
příjezd
věděl
výhodou
objednavce
operativnost
mit
dorazily
zpoždění
těchto
košíku
rozsah
sdělit
vyzvednuto
bohatý
vrátil
siroky
všichni
síť
muset
počkat
výzvu
objednaných
nemohou
mých
informoval
dalšího
avšak
výdejního
dokoupit
muj
orientace
spatne
prodavače
material
prodejců
díly
firmu
rámci
složit
prodejcem
proběhl
balíků
náhodou
nákupy
pripraveno
spíš
sehnat
barvě
jakékoliv
volám
doporučila
vyměnit
levný
vysvětlení
dalsi
nespokojenost
obchodní
perfektni
cislo
dekuji
prakticky
doporučení
nábytek
požadavek
radši
kontaktovat
cekam
moznost
pc
vzal
platí
nemáte
jít
organizace
chtějí
konkrétně
infolinku
označené
abychom
změnit
levně
profesionalita
uvnitř
brzy
poskozene
oceňuji
důvodů
něm
spatna
samé
jinam
provedení
jednoduše
tolik
určité
ním
vyjít
chyby
muselo
takhle
avízo
pomohl
zdlouhavé
zálohu
zprávy
přesné
velikosti
taková
telefonickém
pracovnice
počet
šel
otvírací
profily
nikoliv
nezavolal
známým
standardní
výměnu
správné
nevyhovující
kamenný
neshledal
odbavení
domek
doručili
zabalit
slabinou
pytle
koupím
sebe
jméno
cen
fyzicky
přivezli
snadno
dlažby
prodavačů
zásob
snaha
pokladní
volá
okolo
zadny
potreboval
každé
říci
objednaný
prace
poloha
překvapilo
řešil
nechci
městě
avizováno
nepříjemná
jednoduchost
jediný
druhů
překvapen
víkendu
uveden
odeslali
vzdy
řeší
rozměru
funkční
akční
uvedena
jakéhokoliv
pozdě
požadoval
profi
částky
neodpovídají
pokus
plus
zásoby
40
plně
přijít
nedalo
zlepšit
skutečnost
spolehlivá
strankach
zjistila
vadí
mozne
většinou
průběhu
svém
jasné
nemohla
miste
stejne
posílají
firmě
vlastně
snadné
neděje
prostřednictvím
kontaktu
poradil
přijet
at
nervy
dárek
skladníka
skladových
nevýhodou
dodá
omluva
provedena
těch
kvalitou
primo
dojem
dodán
dodano
nekontaktoval
zbytečná
nemusí
příští
is
pravděpodobně
svoji
přepravy
jezdím
výši
neměla
cekal
slušný
typu
označení
osobne
lhůtou
srovnání
nejprve
zaslán
přehledně
logistika
vracení
oznámeno
čekali
případ
rychlostí
bleskové
dovozu
výměna
přijede
zkrátka
internetovém
vašem
shánět
přivezl
nikoho
připravena
nezažil
